1582935	1077655	21919	USRE10501364	ISRC	Jesus Of Suburbia (Live)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1582943	1077655	21919	USRE10501366	ISRC	Jesus Of Suburbia (Dearly Beloved) (Live)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1582947	1077655	21919	USRE10501368	ISRC	Jesus Of Suburbia (I Don't Care) (Live)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1582951	1077655	21919	USRE10501370	ISRC	St. Jimmy (Live)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1582955	1077655	21919	USRE10501372	ISRC	Boulevard Of Broken Dreams (Live)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1582959	1077655	21919	USRE10501374	ISRC	Are We The Waiting (Live)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1582963	1077655	21919	USRE10501376	ISRC	Good Riddance (Time Of Your Life) (Live)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1603831	1077655	21919	USRE10501843	ISRC	American Idiot (Live)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1937100	1077655	21866	USRE10701094	ISRC	The Simpsons Theme	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
2002377	1077655	12803	US39N0703170	ISRC	Welcome to Paradise	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Epitaph
2948375	1077655	21877	USRE10900523	ISRC	Know Your Enemy	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2981831	1077655	21877	USRE10900742	ISRC	Know Your Enemy [Violence Is An Energy]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2981834	1077655	21877	USRE10900745	ISRC	Know Your Enemy [The Insurgency Will Rise]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2981837	1077655	21877	USRE10900748	ISRC	Know Your Enemy [From Here To Eternity]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984571	1077655	21877	USRE10900766	ISRC	American Eulogy [Mass Hysteria]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984574	1077655	21877	USRE10900769	ISRC	American Eulogy [Modern World]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:45	Reprise
2984592	1077655	21877	USRE10900772	ISRC	See The Light	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984611	1077655	21877	USRE10900775	ISRC	Know Your Enemy [Chorus]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984614	1077655	21877	USRE10900817	ISRC	21 Guns	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984623	1077655	21877	USRE10900814	ISRC	The Static Age	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984628	1077655	21877	USRE10900811	ISRC	Horseshoes And Handgrenades	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984632	1077655	21877	USRE10900808	ISRC	Restless Heart Syndrome	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984652	1077655	21877	USRE10900802	ISRC	Murder City	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984655	1077655	21877	USRE10900799	ISRC	Last Of The American Girls	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984715	1077655	21877	USRE10900805	ISRC	¿Viva La Gloria? [Little Girl]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984720	1077655	21877	USRE10900820	ISRC	American Eulogy	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984724	1077655	21877	USRE10900796	ISRC	Peacemaker	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984732	1077655	21877	USRE10900778	ISRC	21st Century Breakdown	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984736	1077655	21877	USRE10900781	ISRC	¡Viva La Gloria!	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984739	1077655	21877	USRE10900793	ISRC	East Jesus Nowhere	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984744	1077655	21877	USRE10900784	ISRC	Before The Lobotomy	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984747	1077655	21877	USRE10900787	ISRC	Christian's Inferno	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2984750	1077655	21877	USRE10900790	ISRC	Last Night On Earth	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
2995615	1077655	21877	USRE10900931	ISRC	Song Of The Century	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
3095712	1077655	21877	USRE10901231	ISRC	21 Guns [Intro]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
3095715	1077655	21877	USRE10901234	ISRC	21 Guns [Breakdown]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
3095718	1077655	21877	USRE10901237	ISRC	21 Guns [When It's Time]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
3095721	1077655	21877	USRE10901240	ISRC	21 Guns [Chorus]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
3095724	1077655	21877	USRE10901243	ISRC	21 Guns [Does The Pain Weight Out The Pride]	Audio	Sound Recording (Music Work)	Mastertone	Alternative	000:00:30	Reprise
