1556156	1077655	21884	A10302B0000033878Y	GRID	Last Ride In (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1817925	1077655		0093624397120	UPC	Time Of Your Life (Good Riddance) (UK)	Audio	Single	Single	CD 5-inch	Pop	10/14/1997	Reprise
1850347	1077655		0093624397625	UPC	Time Of Your Life (Good Riddance)	Audio	Single	Single	CD	Pop	1/19/1998	Warner Music UK
1850346	1077655		0093624397229	UPC	Time Of Your Life (Good Riddance)	Audio	Single	Single	CD	Pop	1/19/1998	Warner Music UK
1851635	1077655		0054391725547	UPC	Time Of Your Life (Good Riddance)	Audio	Single	Single	Tape Cassette	Pop	1/19/1998	Warner Music UK
1753796	1077655		0093624726722	UPC	2UP (Dookie/Insomniac)	Audio	Album	Album	CD 5-inch	Pop	1/1/1999	Reprise
1817936	1077655		0093624461029	UPC	Nice Guys Finish Last (Australia)	Audio	Single	Single	CD 5-inch	Pop	2/1/1999	Reprise
1753804	1077655		0093624398622	UPC	Green Day Singles Box	Audio	Album	Album	CD 5-inch	Pop	2/2/1999	Reprise
1275340	1077655		0054391624529	UPC	Longview (U.S. CD Single)	Audio	Single	Single	CD 5-inch	Alternative Rock	9/28/1999	Reprise
1275256	1077655		0054391624628	UPC	Brain Stew (CD Single)	Audio	Single	Single	CD 5-inch	Alternative Rock	9/28/1999	Reprise
1821508	1077655		0093624677420	UPC	Nimrod (Int'l-Bonus Track)	Audio	Album	Album	CD	Pop	1/1/2000	Reprise
1821475	1077655		0093624730620	UPC	Nimrod (4 Tracks added to 46794)	Audio	Album	Album	CD 5-inch	Pop	1/1/2000	Reprise
1817939	1077655	21885	0093624781028	UPC	Dookie	Audio	Album	Album	CD 5-inch	Pop	5/23/2000	Reprise
1817945	1077655		0093624493129	UPC	Minority (Int'l)	Audio	Single	Single	CD 5-inch	Pop	9/4/2000	Reprise
1817950	1077655		0054391681324	UPC	Minority (Int'l)	Audio	Single	Single	CD 5-inch	Pop	9/4/2000	Reprise
1817946	1077655		0093624492726	UPC	Minority (Germany)	Audio	Single	Single	CD 5-inch	Pop	9/4/2000	Reprise
1817948	1077655		0054391681348	UPC	Minority (Int'l)	Audio	Single	Single	Tape Cassette	Pop	9/4/2000	Reprise
1817942	1077655		0054391681423	UPC	Minority (Japan)	Audio	Single	Single	CD	Pop	9/11/2000	Reprise
1817984	1077655		0093624785729	UPC	Warning (Japan/Aust./New Zealand)	Audio	Album	Album	CD 5-inch	Pop	9/19/2000	Reprise
1817983	1077655		0093624785743	UPC	Warning (Japan/Aust./New Zealand)	Audio	Album	Album	Tape Cassette	Pop	9/19/2000	Reprise
1817982	1077655		0093624803041	UPC	Warning (UK)	Audio	Album	Album	Tape Cassette	Pop	10/2/2000	Reprise
1817985	1077655		0093624803027	UPC	Warning (UK)	Audio	Album	Boxed Set	CD 5-inch	Pop	10/2/2000	Reprise
1757738	1077655	21883	0093624761327	UPC	Warning (U.S. Version)	Audio	Album	Album	CD 5-inch	Pop	10/3/2000	Reprise
1757737	1077655	21883	0093624761341	UPC	Warning (U.S. Version)	Audio	Album	Album	Tape Cassette	Pop	10/3/2000	Reprise
