1003386	Quena
1003387	Quenacho
1003388	Quicka
1003389	Quijada
1003390	Rababah
1003405	Radio
1003406	Rain Sticks
1003407	Raygun
1003408	Recorded By
1003425	Reco-reco
1003426	Re-Edit
1003427	Remastering
1003428	Remix Engineer
1003445	Repeater
1003446	Repinique
1003447	Repique de Mao
1003448	Repiques
1003449	Requinto
1003465	Resonator
1003466	Reverse Bass
1003467	Rhythm Box
1003468	Rhythm Stick
1003485	Ride
1003486	Rik
1003487	Riq
1003488	Roland 303
1003489	Roland Paraphonic
1003505	Scratching
1003506	Screams
1003507	Second
1003508	Section
1003509	Segment
1003510	Sentir
1003525	Sequenced
1003526	Sgira
1003527	Shakuhachi
1003545	Shekere
1003546	Shelltone
1003547	Shortwave Radio
1003548	Shruti Box
1003549	Sicus
1003550	Sintir
1003551	Sleigh
1003565	Snare Loop
1003566	Solina
1003567	Solo
1003568	Sound
1003569	Sound Effects
1003570	Sound Manipulator
1003571	Sound Restoration
1003572	Soundscapes
1003573	Soundtrack
1003574	Sountrack Associate Music
1003585	Sousaphone
1003586	Special
1003587	Special Recording
1003588	Spoken Voice
1003589	Spoons
1003590	Stage
1003591	Stapleton3
1003592	Stick
1003593	String FX
1003605	String Synthesizer
1003606	Stripped
1003607	Studio
1003608	Stylophone
1003625	Suffâra
1003626	Sugarcuts
1003627	Sundries
1003628	Surdu
1003629	Surround Sound
1003645	Synclavier
1003646	Syncussion
1003647	Syndrums
1003648	Synth Filter
1003649	Tabl Baladi
1003665	Tabla
1003666	Taconeo
1003667	Talkbox
1003668	Talker
1003669	Tambora
1003670	Tamborim
1003671	Tambura
1003685	Tam-Tam
1003686	Tanpura
1003687	Tap Dance
1003688	Tape Operator
1003689	Tarol
1003690	Technical
1003691	Teeth
1003692	Telephone Voice
1003705	Temple Blocks
1003706	Tenor
1003707	Tenor Rebec
1003708	Tenor Viol
1003709	Tere
1003710	Three Stringed Stick
1003711	Thunderstorm
1003725	Timba
1003726	Timbales
1003727	Timpani Orchestral
1003728	Timple
1003729	Tinaja
1003730	Tracked
1003745	Train
1003746	Transforming
1003747	Treatment
1003748	Treatments
1003749	Treble Rebec
1003750	Tres
1003751	Triggered Strings
1003765	Stapletone
1003785	Brass Explosion
1003786	Breaks
1003787	Brush
1003788	Brushes
1003789	Bucket
1003790	Buffo
1003791	Button
1003792	Cabasa
1003793	Caja
1003794	Cale
1003795	Callebasse
1003796	Calliope
1003805	Carcabou
1003806	Cardboard Box
1003807	Cardboard Tube
1003808	Carillon
1003809	Casio
1003810	Cavaquinho
1003811	Celeste
1003812	Celtic
1003813	Cencerro
1003814	Chains
1003815	Chair
1003816	Chamber Orchestra
1003817	Chamberlain
1003818	Chanter
1003819	Chapman Stick
1003820	Chat
1003821	Chatan
1003822	Chekeré
1003825	Cheng
1003826	Children's
